model,record_id,column,old_url,aws_key,status,error,replacement_url
WorkshopVariation,255,code,https://res.cloudinary.com/a-window-between-worlds/image/upload/v1572470395/Touchstones.pdf,https://res.cloudinary.com/,updated,,/rails/active_storage/blobs/redirect/eyJfcmFpbHMiOnsiZGF0YSI6NzU5NiwicHVyIjoiYmxvYl9pZCJ9fQ==--991022b02b7747e603e7dc6cdff11f1f939fbe52/res.cloudinary.com
WorkshopVariation,256,code,https://res.cloudinary.com/a-window-between-worlds/image/upload/v1572470395/Touchstones.pdf,https://res.cloudinary.com/,updated,,/rails/active_storage/blobs/redirect/eyJfcmFpbHMiOnsiZGF0YSI6NzU5NiwicHVyIjoiYmxvYl9pZCJ9fQ==--991022b02b7747e603e7dc6cdff11f1f939fbe52/res.cloudinary.com
WorkshopVariation,289,code,http://res.cloudinary.com/a-window-between-worlds/image/upload/v1501536898/AtTheCore_MiniMural-ColoringPages_vhevav.pdf,http://res.cloudinary.com/,updated,,/rails/active_storage/blobs/redirect/eyJfcmFpbHMiOnsiZGF0YSI6NDUyMywicHVyIjoiYmxvYl9pZCJ9fQ==--826e0560ff478712fe14df49f8941bb209736449/res.cloudinary.com
WorkshopVariation,292,code,http://res.cloudinary.com/a-window-between-worlds/image/upload/v1501536898/AtTheCore_MiniMural-ColoringPages_vhevav.pdf,http://res.cloudinary.com/,updated,,/rails/active_storage/blobs/redirect/eyJfcmFpbHMiOnsiZGF0YSI6NDUyMywicHVyIjoiYmxvYl9pZCJ9fQ==--826e0560ff478712fe14df49f8941bb209736449/res.cloudinary.com
WorkshopVariation,297,code,http://res.cloudinary.com/a-window-between-worlds/image/upload/v1501536898/AtTheCore_MiniMural-ColoringPages_vhevav.pdf,http://res.cloudinary.com/,updated,,/rails/active_storage/blobs/redirect/eyJfcmFpbHMiOnsiZGF0YSI6NDUyMywicHVyIjoiYmxvYl9pZCJ9fQ==--826e0560ff478712fe14df49f8941bb209736449/res.cloudinary.com
Workshop,2,materials,https://res.cloudinary.com/a-window-between-worlds/image/upload/v1570588636/InnerSelfPortrait_JournalQs.pdf,https://res.cloudinary.com/,updated,,/rails/active_storage/blobs/redirect/eyJfcmFpbHMiOnsiZGF0YSI6NzU5NiwicHVyIjoiYmxvYl9pZCJ9fQ==--991022b02b7747e603e7dc6cdff11f1f939fbe52/res.cloudinary.com
Workshop,30,materials,https://res.cloudinary.com/a-window-between-worlds/image/upload/v1661355074/Anger_Volcanoes.pdf,https://res.cloudinary.com/,updated,,/rails/active_storage/blobs/redirect/eyJfcmFpbHMiOnsiZGF0YSI6NzU5NiwicHVyIjoiYmxvYl9pZCJ9fQ==--991022b02b7747e603e7dc6cdff11f1f939fbe52/res.cloudinary.com
Workshop,36,materials,https://res.cloudinary.com/a-window-between-worlds/image/upload/v1552596907/Intuition_Dolls_Instructions_e0sagr.pdf,https://res.cloudinary.com/,updated,,/rails/active_storage/blobs/redirect/eyJfcmFpbHMiOnsiZGF0YSI6NzU5NiwicHVyIjoiYmxvYl9pZCJ9fQ==--991022b02b7747e603e7dc6cdff11f1f939fbe52/res.cloudinary.com
Workshop,38,notes,https://res.cloudinary.com/a-window-between-worlds/image/upload/v1541448179/MonsterinMeJournalingQs_eza5jo.pdf,https://res.cloudinary.com/,updated,,/rails/active_storage/blobs/redirect/eyJfcmFpbHMiOnsiZGF0YSI6NzU5NiwicHVyIjoiYmxvYl9pZCJ9fQ==--991022b02b7747e603e7dc6cdff11f1f939fbe52/res.cloudinary.com
Workshop,38,optional_materials,https://res.cloudinary.com/a-window-between-worlds/image/upload/v1615837389/The_Monster_in_Me_ssajsa.pdf,https://res.cloudinary.com/,updated,,/rails/active_storage/blobs/redirect/eyJfcmFpbHMiOnsiZGF0YSI6NzU5NiwicHVyIjoiYmxvYl9pZCJ9fQ==--991022b02b7747e603e7dc6cdff11f1f939fbe52/res.cloudinary.com
Workshop,47,materials,https://res.cloudinary.com/a-window-between-worlds/image/upload/v1549557613/House_Template_a43t3g.pdf,https://res.cloudinary.com/,updated,,/rails/active_storage/blobs/redirect/eyJfcmFpbHMiOnsiZGF0YSI6NzU5NiwicHVyIjoiYmxvYl9pZCJ9fQ==--991022b02b7747e603e7dc6cdff11f1f939fbe52/res.cloudinary.com
Workshop,59,materials,https://res.cloudinary.com/a-window-between-worlds/image/upload/v1552596907/Intuition_Dolls_Instructions_e0sagr.pdf,https://res.cloudinary.com/,updated,,/rails/active_storage/blobs/redirect/eyJfcmFpbHMiOnsiZGF0YSI6NzU5NiwicHVyIjoiYmxvYl9pZCJ9fQ==--991022b02b7747e603e7dc6cdff11f1f939fbe52/res.cloudinary.com
Workshop,67,optional_materials,https://res.cloudinary.com/a-window-between-worlds/image/upload/v1553110159/I_Am_Light_poem_exjag9.pdf,https://res.cloudinary.com/,updated,,/rails/active_storage/blobs/redirect/eyJfcmFpbHMiOnsiZGF0YSI6NzU5NiwicHVyIjoiYmxvYl9pZCJ9fQ==--991022b02b7747e603e7dc6cdff11f1f939fbe52/res.cloudinary.com
Workshop,76,optional_materials,https://res.cloudinary.com/a-window-between-worlds/image/upload/v1632180427/Gratitude_Journal_ktz0ib.pdf,https://res.cloudinary.com/,updated,,/rails/active_storage/blobs/redirect/eyJfcmFpbHMiOnsiZGF0YSI6NzU5NiwicHVyIjoiYmxvYl9pZCJ9fQ==--991022b02b7747e603e7dc6cdff11f1f939fbe52/res.cloudinary.com
Workshop,76,optional_materials,https://res.cloudinary.com/a-window-between-worlds/image/upload/v1668028343/Gratitude_Journal_Spanish_.pdf,https://res.cloudinary.com/,updated,,/rails/active_storage/blobs/redirect/eyJfcmFpbHMiOnsiZGF0YSI6NzU5NiwicHVyIjoiYmxvYl9pZCJ9fQ==--991022b02b7747e603e7dc6cdff11f1f939fbe52/res.cloudinary.com
Workshop,78,optional_materials,http://res.cloudinary.com/a-window-between-worlds/image/upload/v1661354375/Affirmation_Hearts.pdf,http://res.cloudinary.com/,updated,,/rails/active_storage/blobs/redirect/eyJfcmFpbHMiOnsiZGF0YSI6NDUyMywicHVyIjoiYmxvYl9pZCJ9fQ==--826e0560ff478712fe14df49f8941bb209736449/res.cloudinary.com
Workshop,78,optional_materials,https://res.cloudinary.com/a-window-between-worlds/image/upload/v1692721640/Affirmation_Hearts_Spanish.pdf,https://res.cloudinary.com/,updated,,/rails/active_storage/blobs/redirect/eyJfcmFpbHMiOnsiZGF0YSI6NzU5NiwicHVyIjoiYmxvYl9pZCJ9fQ==--991022b02b7747e603e7dc6cdff11f1f939fbe52/res.cloudinary.com
Workshop,80,setup,https://res.cloudinary.com/a-window-between-worlds/image/upload/v1553544790/Women_Who_Run_With_the_Wolves_hi7td9.pdf,https://res.cloudinary.com/,updated,,/rails/active_storage/blobs/redirect/eyJfcmFpbHMiOnsiZGF0YSI6NzU5NiwicHVyIjoiYmxvYl9pZCJ9fQ==--991022b02b7747e603e7dc6cdff11f1f939fbe52/res.cloudinary.com
Workshop,80,optional_materials,https://res.cloudinary.com/a-window-between-worlds/image/upload/v1553544790/Women_Who_Run_With_the_Wolves_hi7td9.pdf,https://res.cloudinary.com/,updated,,/rails/active_storage/blobs/redirect/eyJfcmFpbHMiOnsiZGF0YSI6NzU5NiwicHVyIjoiYmxvYl9pZCJ9fQ==--991022b02b7747e603e7dc6cdff11f1f939fbe52/res.cloudinary.com
