id,str_quote,bln_inactive,,
2,"I love hearts, it makes me feel special, my mom will also feel special when I give my art to her.",0,,
3,This workshop allows me to understand where I am coming from.  I always look forward to coming to this class because I express myself through colors.  I love to draw art even more while I am sober.,0,,
4,"The art workshop helped the kids feel more open to say why they are here, and the sharing helped them see that they had all been through the same things.",0,,
5,I am here because it is nice and because my dad was trying to kill my mom.,0,,
6,The kids were having problems with each other outside of the group.  The art project brought out their sibling rivalry so they could find a way of calming down and focusing on themselves instead of each other.,0,,
7,"I'm going to miss doing art when we leave.  I didn't think these groups were going to help me, but they have.  I can be true to myself and open up and still be safe.",0,,
8,"The children were able to express their feelings, from sadness to anger, without being ridiculed.",0,,
9,"It was amazing to do artwork with staff, interns, volunteers, and clients together.  We did this workshop in the park as part of an agency retreat.  I feel that it really brought us all together as a community and let us open up.",0,,
10,AWBW is one of the avenues I chose so that I can make a difference in this world.  I feel fortunate that I can help.,0,,
11,I've been asking about a journal... Now I have one and I designed it myself! Great therapy!,0,,
12,The workshop helped me to paint how  I want my life with my girls to be someday:  Standing on green grass with sunshine and flowers all around.  It was spiritual and it helped me focus on why we are here: to learn to live a peaceful life.  I enjoyed the workshop.,0,,
13,"Even in the workshops when I don't feel like I connect as much with my artwork, I am still gaining so much from the very act of coming together and forming a supportive and healing space.  Listening to, sharing with and just being with this group of women gives me the inner strength that I need to keep going each day.",,,
\,,,,
I feel a part of something. I feel like my feelings are okay. I feel stronger when I am here.,0,,,
14,This workshop was awesome and it helped me to realize that I am worthy of love and happiness.  I am complete and perfect already!,0,,
15,The workshop is neat due to the fact that I get inspired and in turn I can inspire someone else ó that is empowering.,0,,
16,I believe this program helped me become more positive in my outlook on life and on myself.,0,,
17,A chance for creative expression through poetry and art is wonderful.,0,,
18,I chose the wave because I can be as calm as a wave... and the thunder and lightning because I can be as angry as thunder.,0,,
19,"I learned to be respectful not rude, and learned to share.",0,,
20,I love this group.  It always gets me to share a lot of my inner feelings that I keep mostly inside.,0,,
21,My angel is going to look mean so it can protect me.,0,,
22,"Mommy, look: I made an Angel to watch over us.",0,,
23,My dad explodes like a volcano and the fire comes out hitting.,0,,
24,It makes me want to stomp.  I get all the mad out of myself.  ó Four-year-old girl.,0,,
25,It was rewarding to see the children explore and understand the importance of handling anger before it gets to the point of explosion.,0,,
26,"Thank you, I now feel stronger about myself and my children.",0,,
27,I think this project was the best because I never felt so relaxed and it made me feel really good about myself.,0,,
28,Thank you for this beautiful time.  It helped me a lot. God bless you.,0,,
29,"Muchas gracias, me gusto como poder escribir y expresar mis sentimientos, gracias por que no sabia.",,,
\,,,,
,,,,
\,,,,
"Thank you very much, I liked how writing expresses my feelings, thanks, because I did not know.",0,,,
30,"The children were hesitant at first, but derived great satisfaction when their pictures started coming together.",0,,
31,These workshops reach the depth of people's souls in such a short amount of time. They're amazingly powerful.,0,,
32,"Reminds them where they were, and where they are going.",0,,
33,The workshop helps relax me and helps me reinvent myself.  I leave here feeling strong and refreshed.,0,,
34,Yo recomiendo este taller no solo para nosotras que estamos en el programa sino para todas aquellas personas que sienten que no hay ayuda en ningun lugar.,,,
\,,,,
,,,,
\,,,,
"I recommend this workshop not only for us in this program, but for all the other people who feel there is no help anywhere.",0,,,
35,"A three-year-old was thrilled with her paper self.  She danced around the yard with her mirror image yelling, ""Look at me!  Look at us!""",0,,
36,Me senti muy feliz al estar trabajando en equipo y me senti mas relajada al poder sacar toda la amargura de mi alma y poder salir adelante.,,,
\,,,,
,,,,
\,,,,
I felt happy working as a group.  I feel more relaxed and able to take out all the sourness of my soul and continue forward.,0,,,
37,"El taller me ha hecho sentirme que puedo hacer cuanto you quiera en al vida, la felicidad esta en mis manos.",,,
\,,,,
,,,,
\,,,,
This workshop made me feel that I can do whatever I want in life: happiness is in my hands.,0,,,
