ID,Title,Content,Status,organization_name,story_workshop_name,Tags,Categories,showhide_the_name,state,facilitator_name,Date
12958,A Commitment to Self-Care,"<p>Windows Facilitator Eydie recently shared with us, “<em><strong>Art is a wonderf</p>",publish,WomenShelter Long Beach,Take a Break — Self Regulate!,Teens,Self-Care &amp; Personal Growth,display_first_name,California,AWBW,2021-07-11 10:07:53
12960,A Step in the Right Direction,<p>This is from the workshop “Anger Volcano.” The participant is 11 years old. He h</p>,publish,Empowerhouse,Anger Volcano,Children,Domestic Violence,hide_full_name,Virginia,Ashley,2021-07-11 10:17:26
12962,Art Evoking Lost Stories,<p>The Story Trees workshop was the first Windows workshop I facilitated at my new </p>,publish,Los Angeles Centers for Alcohol and Drug Abuse,Story Trees,Adults,Incarceration,display_full_name,California,Jill,2021-07-11 10:20:55
12966,Being Your True Self,<p>“Being a part of AWBW makes me feel supported and connected to this community of</p>,publish,The Nest,,Adults|Teens,LGBTQIA+,display_first_name,Kentucky,AWBW,2021-07-11 10:55:04
12977,Finding Connection Through Art,"<p><span style=""font-weight: 400;"">We began our art group late one day because a fi</p>",publish,Insight Human Services Women's Recovery Center,,Adults,Substance Abuse Recovery,hide_full_name,North Carolina,,2021-07-11 11:05:59
12981,Gaining Strength,<p>Elizabeth is an AWBW facilitator and the founder of Students Turn 4 Greatness in</p>,publish,Students Turn 4 Greatness,,Adults,Community Engagement,display_first_name,California,AWBW,2021-07-11 11:14:51
12983,Healing Historical Trauma,"<p>In February, UAII hosted the first of 6 workshops in the Women’s Empowerment wor</p>",publish,United American Indian Involvement (UAII),Touchstones,Adults|Cathy scholarship,Social Justice,hide_full_name,California,Nikki,2021-07-11 11:38:14
12985,I Am Not to Blame,<p>Danny was 11 years old. His father abused him verbally and physically. He also w</p>,publish,Angel Step Inn,Monster In Me,Children,Child Abuse / Neglect,display_full_name,California,Martha,2021-07-11 11:43:34
13011,Speaking Freely From the Heart,"<p><span style=""font-weight: 400;"">An eight-year-old girl who was residing at the s</p>",publish,Valley Oasis,Feeling Friends and Heart Stories,Children,Mental Health,hide_full_name,California,Tammi,2021-07-11 12:44:07
19107,Claiming Identity and Personal Growth,"<p><span style=""font-weight: 400;"">John* grew up in a single parent home and shared</p>",draft,Counseling Partners LLC,Claiming Who I Am,Adults,Foster Care,display_first_name,Indiana,Ericka,2025-10-30 22:52:36
